Region,Year,Source,Sector,Subsector,TPM,PM10,PM2.5,SOX,NOX,VOC,CO,NH3,Pb,Cd,Hg,D/F,HCB,PAH
Canada,1990,Open Sources,Agriculture,Animals Production,27691,8093,1685,,,222288,,282633,,,,,,
Canada,1990,Open Sources,Agriculture,Crop Production,6538929,2320670,651155,,,,,,,,,,,
Canada,1990,Open Sources,Agriculture,Fertilizer Application,9154,4485,1281,,,,,76138,,,,,,
Canada,1990,Open Sources,Agriculture,Agriculture - Fuel Combustion,158,125,116,2174,2085,81,632,44,29.8,51,2.8,0.058,,0.3
Canada,1990,Open Sources,Construction Operation,all subsectors,3971628,1191607,238451,1857,3864,71,672,70,10.4,10.7,2.6,0.068,,0.4
Canada,1990,Open Sources,Dust from Paved Roads,all subsectors,2451861,469941,112430,,,,,,,,,,,
Canada,1990,Open Sources,Dust from Unpaved Roads,all subsectors,5999150,1902064,283413,,,,,,,,,,,
Canada,1990,Open Sources,Dust from Coal Transportation,all subsectors,1765,882,187,,,,,,,,,,,
Canada,1990,Open Sources,Waste,all subsectors,6998,3713,3221,1130,7129,16518,34843,5730,,,2401.7,19.065,4514.483,664.7
Canada,1990,Open Sources,Waste,Landfills,4535,1381,910,186,973,11441,21425,10,,,565.6,,,
Canada,1990,Open Sources,Waste,Water and Sewage Treatment,334,200,189,696,5035,921,1792,5573,,,445.9,0.013,0.493,
Canada,1990,Open Sources,Waste,Energy from Waste,9,13,7,109,243,17,188,61,,,69,0.002,4.8,
Canada,1990,Open Sources,Waste,Open Burning,2101,2101,2101,131,788,3939,11028,84,,,317.5,19.05,4509.19,664.7
Canada,1990,Open Sources,Waste,Waste Treatment and Disposal,19,18,14,9,91,201,409,2,,,1003.7,,,
Canada,1990,Open Sources,Mine Tailings,all subsectors,58530,4682,1171,,,,,,,,,,,
Canada,1990,Open Sources,Prescribed Burning,all subsectors,50314,39588,34329,173,7087,39189,425408,1054,,,,7.203,,9292
Canada,1991,Industrial Sources,Aluminum Industry,all subsectors,16981,8724,5973,38353,1613,665,303740,30,84.2,0.7,21.7,3.587,,90034.3
Canada,1991,Industrial Sources,Aluminum Industry,Alumina (Bauxite Refining),649,400,314,2869,797,10,138,24,,,6.3,,,
Canada,1991,Industrial Sources,Aluminum Industry,Primary Aluminum Smelting & Refining,16329,8321,5656,35477,801,655,303598,4,84.2,0.7,15.5,,,90034.3
Canada,1991,Industrial Sources,Aluminum Industry,Secondary Aluminum (Includes Recycling),3,3,3,7,15,,3,1,,,,3.587,,
Canada,1991,Industrial Sources,Asphalt Paving Industry,all subsectors,37405,7698,1683,778,1100,7017,3811,1,1160.6,21.7,20.6,0.021,,12.4
Canada,1991,Industrial Sources,Cement and Concrete Industry,all subsectors,52591,18506,9242,37908,37856,757,15186,593,480.1,40,380.6,2.641,1888.41,16
Canada,1991,Industrial Sources,Cement and Concrete Industry,Cement Manufacture,18786,8110,4051,36024,34982,596,9931,567,394.8,36,258.1,2.641,1888.41,16
Canada,1991,Industrial Sources,Cement and Concrete Industry,Lime Manufacture,2030,604,400,1644,2492,84,4710,26,5.1,3.2,122.5,,,
Canada,1991,Industrial Sources,Cement and Concrete Industry,Concrete Batching & Products,31775,9792,4791,240,382,77,545,1,80.2,0.8,,,,
Canada,1991,Industrial Sources,Chemicals Industry,all subsectors,15978,7926,4629,32872,40302,46629,30413,9487,11198.4,146,163.2,1.721,669.59,0.6
Canada,1991,Industrial Sources,Chemicals Industry,Chemical Manufacture,4251,2031,1378,25396,14330,12356,17070,1943,1725.6,47.3,91.2,1.719,661.752,0.6
Canada,1991,Industrial Sources,Chemicals Industry,Paint & Varnish Manufacturing,138,116,67,3,26,6069,8,3,9355.8,,,,,
Canada,1991,Industrial Sources,Chemicals Industry,Petrochemical Industry,933,822,640,416,14136,19497,5860,77,114,97.1,0.7,,,
Canada,1991,Industrial Sources,Chemicals Industry,Plastics & Synthetic Resins Fabrication,176,137,60,2229,3094,7785,1869,104,3,1.6,1.4,0.002,7.838,
Canada,1991,Industrial Sources,Chemicals Industry,Fertilizer Production,5470,3712,2087,2316,7171,418,3631,7349,,,,,,
Canada,1991,Industrial Sources,Chemicals Industry,Other (Chemical Industries),5010,1108,398,2513,1543,504,1974,11,,,70,,,
