Region-EN,Year-Année,Source-EN,Sector-EN,Sub-sector-EN,TPM-MPT,PM10-PM10,PM2.5-PM2.5,SOX-SOX,NOX-NOX,VOC-COV,CO-CO,NH3-NH3,Pb-Pb,Cd-Cd,Hg-Hg,D/F-D/F,HCB-HCB,PAH-HAP
Newfoundland and Labrador,1990,Industrial Sources,Petroleum Product Transportation and Distribution,Petroleum Product Pipelines,,,,,,,,,,,,,,
Newfoundland and Labrador,1990,Industrial Sources,Biofuel Production,all subsectors,,,,,,,,,,,,,,
Newfoundland and Labrador,1990,Non-Industrial Sources,Commercial Fuel Combustion,all subsectors,23,13,10,862,339,6,68,13,9.6,5.6,0.2,0.017,,0.1
Newfoundland and Labrador,1990,Non-Industrial Sources,Electric Power Generation (Utilities),all subsectors,198,140,102,21327,2713,60,290,,,,7.3,,,
Newfoundland and Labrador,1990,Non-Industrial Sources,Electric Power Generation (Utilities),Coal,1,1,,23,15,,3,,,,,,,
Newfoundland and Labrador,1990,Non-Industrial Sources,Electric Power Generation (Utilities),Natural Gas,,,,,,,,,,,,,,
Newfoundland and Labrador,1990,Non-Industrial Sources,Electric Power Generation (Utilities),Other (EPG),196,139,102,21304,2698,60,287,,,,7.3,,,
Newfoundland and Labrador,1990,Non-Industrial Sources,Residential Fuel Combustion,all subsectors,56,30,23,546,565,10,140,27,16.8,10,0.1,0.035,,0.2
Newfoundland and Labrador,1990,Non-Industrial Sources,Residential Fuel Wood Combustion,all subsectors,11885,11210,11208,156,1089,17353,69164,98,162.1,8.6,2.4,0.389,,6182.1
Newfoundland and Labrador,1990,Mobile Sources,Air Transportation,all subsectors,34,34,31,491,2581,224,1504,1,1626.3,,,,,0.7
Newfoundland and Labrador,1990,Mobile Sources,Heavy-duty diesel vehicles,all subsectors,405,405,392,352,5145,525,1469,4,,,,0.045,,14.6
Newfoundland and Labrador,1990,Mobile Sources,Heavy-duty gasoline trucks,all subsectors,42,42,38,29,1765,2731,39698,16,,,,0.001,,36.6
Newfoundland and Labrador,1990,Mobile Sources,Light-duty diesel trucks,all subsectors,4,4,4,3,26,4,14,,,,,0.003,,0.5
Newfoundland and Labrador,1990,Mobile Sources,Light-duty diesel vehicles,all subsectors,4,4,3,2,5,1,5,,,,,0.001,,0.2
Newfoundland and Labrador,1990,Mobile Sources,Light-duty gasoline trucks,all subsectors,69,69,63,67,4588,2777,26775,27,,,,0.001,,9.8
Newfoundland and Labrador,1990,Mobile Sources,Light-duty gasoline vehicles,all subsectors,65,65,59,111,5608,3786,36372,66,,,,0.003,,5.7
Newfoundland and Labrador,1990,Mobile Sources,Marine Transportation,all subsectors,1866,1792,1648,13020,24607,2633,2309,29,119.7,30.2,0.7,3.992,,24
Newfoundland and Labrador,1990,Mobile Sources,Motorcycles,all subsectors,,,,,7,24,188,,,,,,,0.1
Newfoundland and Labrador,1990,Mobile Sources,Off-road use of diesel,all subsectors,756,756,741,3236,15044,911,3604,9,,,,,,
Newfoundland and Labrador,1990,Mobile Sources,Off-road use of gasoline/LPG/CNG,all subsectors,7863,7565,7108,678,24406,411489,1316537,107,,,,,,0.9
Newfoundland and Labrador,1990,Mobile Sources,Rail Transportation,all subsectors,,,,,,,,,,,,,,
Newfoundland and Labrador,1990,Mobile Sources,Tire wear & Brake Lining,all subsectors,75,75,18,,,,,,,,,,,
Newfoundland and Labrador,1990,Incineration Sources,Crematorium,all subsectors,,,,,,,,,,,0.3,0.004,0.032,
Newfoundland and Labrador,1990,Incineration Sources,Industrial & Commercial Incineration,all subsectors,,,,,,,,,,,,,,
Newfoundland and Labrador,1990,Incineration Sources,Municipal Incineration,all subsectors,1519,1511,1509,20,27,871,2605,3,,,95.4,,,
Newfoundland and Labrador,1990,Incineration Sources,Other Incineration & Utilities,all subsectors,,,,,,,,,,,39.1,,,
Newfoundland and Labrador,1990,Miscellaneous Sources,Cigarette Smoking,all subsectors,17,17,17,,,,79,2,,0.1,,,,
Newfoundland and Labrador,1990,Miscellaneous Sources,Dry Cleaning,all subsectors,,,,,,13,,,,,,,,
Newfoundland and Labrador,1990,Miscellaneous Sources,General Solvent Use,all subsectors,,,,,,1692,,,,,,,,
Newfoundland and Labrador,1990,Miscellaneous Sources,Marine Cargo Handling Industry,all subsectors,,,,,,,,,,,,,,
Newfoundland and Labrador,1990,Miscellaneous Sources,Meat Cooking,all subsectors,142,142,142,,,,,,,,,,,0.1
Newfoundland and Labrador,1990,Miscellaneous Sources,Refined Petroleum Products Retail,all subsectors,,,,,,598,,,,,,,,
Newfoundland and Labrador,1990,Miscellaneous Sources,Printing,all subsectors,,,,,,35,,,,,,,,
Newfoundland and Labrador,1990,Miscellaneous Sources,Structural Fires,all subsectors,4,4,4,,1,4,24,,,,,,,
Newfoundland and Labrador,1990,Miscellaneous Sources,Surface Coatings,all subsectors,,,,,,1440,,,,,,,,
