Region-EN,Year-Année,Source-EN,Sector-EN,Sub-sector-EN,TPM-MPT,PM10-PM10,PM2.5-PM2.5,SOX-SOX,NOX-NOX,VOC-COV,CO-CO,NH3-NH3,Pb-Pb,Cd-Cd,Hg-Hg,D/F-D/F,HCB-HCB,PAH-HAP
Manitoba,1990,Mobile Sources,Air Transportation,all subsectors,31,31,27,21,1922,263,3684,1,5662.9,,,,,0.5
Manitoba,1990,Mobile Sources,Heavy-duty diesel vehicles,all subsectors,1101,1101,1068,609,11744,1253,3672,10,,,,0.103,,34.8
Manitoba,1990,Mobile Sources,Heavy-duty gasoline trucks,all subsectors,380,380,350,78,6217,8126,117326,46,,,,0.003,,108.9
Manitoba,1990,Mobile Sources,Light-duty diesel trucks,all subsectors,28,28,27,12,157,24,86,,,,,0.02,,3
Manitoba,1990,Mobile Sources,Light-duty diesel vehicles,all subsectors,32,32,31,13,45,15,38,,,,,0.01,,2.2
Manitoba,1990,Mobile Sources,Light-duty gasoline trucks,all subsectors,337,337,310,123,10590,7362,81348,54,,,,0.003,,31.4
Manitoba,1990,Mobile Sources,Light-duty gasoline vehicles,all subsectors,647,647,595,270,19293,17718,175741,138,,,,0.007,,26.8
Manitoba,1990,Mobile Sources,Marine Transportation,all subsectors,18,17,16,137,221,8,21,,1.2,0.3,,0.041,,0.2
Manitoba,1990,Mobile Sources,Motorcycles,all subsectors,1,1,,,10,46,291,,,,,,,0.1
Manitoba,1990,Mobile Sources,Off-road use of diesel,all subsectors,3936,3936,3857,1844,30960,4648,19616,15,,,,,,
Manitoba,1990,Mobile Sources,Off-road use of gasoline/LPG/CNG,all subsectors,3574,3438,3230,268,6148,187771,471813,38,,,,,,0.4
Manitoba,1990,Mobile Sources,Rail Transportation,all subsectors,323,323,313,499,14428,591,1427,4,27.1,9,9,0.109,,5.5
Manitoba,1990,Mobile Sources,Tire wear & Brake Lining,all subsectors,198,198,48,,,,,,,,,,,
Manitoba,1990,Incineration Sources,Crematorium,all subsectors,,,,,,,,,0.1,,3.9,0.045,0.393,
Manitoba,1990,Incineration Sources,Industrial & Commercial Incineration,all subsectors,,,,,,,,,,,,,,
Manitoba,1990,Incineration Sources,Municipal Incineration,all subsectors,,,,,,,,,,,,,,
Manitoba,1990,Incineration Sources,Other Incineration & Utilities,all subsectors,,,,,,,,,,,66.6,,,
Manitoba,1990,Miscellaneous Sources,Cigarette Smoking,all subsectors,31,31,31,,,1,145,5,0.1,0.2,,0.001,,
Manitoba,1990,Miscellaneous Sources,Dry Cleaning,all subsectors,,,,,,27,,,,,,,,
Manitoba,1990,Miscellaneous Sources,General Solvent Use,all subsectors,,,,,,6923,,,,,,,,
Manitoba,1990,Miscellaneous Sources,Marine Cargo Handling Industry,all subsectors,,,,,,,,,,,,,,
Manitoba,1990,Miscellaneous Sources,Meat Cooking,all subsectors,272,272,272,,,,,,,,,,,0.1
Manitoba,1990,Miscellaneous Sources,Refined Petroleum Products Retail,all subsectors,,,,,,1381,,,,,,,,
Manitoba,1990,Miscellaneous Sources,Printing,all subsectors,,,,,,2309,,,,,,,,
Manitoba,1990,Miscellaneous Sources,Structural Fires,all subsectors,34,34,31,,4,34,186,2,,,,,,
Manitoba,1990,Miscellaneous Sources,Surface Coatings,all subsectors,,,,,,3765,,,,,,,,
Manitoba,1990,Miscellaneous Sources,Human,all subsectors,,,,,,,,19,,,4.1,,,
Manitoba,1990,Miscellaneous Sources,Other Miscellaneous Sources,all subsectors,,,,,,,,1,,,44.5,,,
Manitoba,1990,Open Sources,Agriculture,all subsectors,521813,173826,51782,28,37,18475,9,37408,0.7,1.1,,0.002,,
Manitoba,1990,Open Sources,Agriculture,Animals Production,2226,704,148,,,18474,,22624,,,,,,
Manitoba,1990,Open Sources,Agriculture,Crop Production,518106,172395,51426,,,,,,,,,,,
Manitoba,1990,Open Sources,Agriculture,Fertilizer Application,1478,724,207,,,,,14782,,,,,,
Manitoba,1990,Open Sources,Agriculture,Agriculture - Fuel Combustion,3,2,2,28,37,1,9,1,0.7,1.1,,0.002,,
Manitoba,1990,Open Sources,Construction Operation,all subsectors,190594,57183,11442,14,130,2,23,2,0.3,0.4,0.1,0.001,,
Manitoba,1990,Open Sources,Dust from Paved Roads,all subsectors,143651,27533,6584,,,,,,,,,,,
Manitoba,1990,Open Sources,Dust from Unpaved Roads,all subsectors,284592,93834,13812,,,,,,,,,,,
Manitoba,1990,Open Sources,Dust from Coal Transportation,all subsectors,188,94,19,,,,,,,,,,,
Manitoba,1990,Open Sources,Waste,all subsectors,258,134,126,7,42,504,591,162,,,43.2,1.02,241.73,35.6
Manitoba,1990,Open Sources,Waste,Landfills,134,11,3,,,292,,,,,22.7,,,
Manitoba,1990,Open Sources,Waste,Water and Sewage Treatment,11,11,11,,,1,,157,,,7.7,,,
Manitoba,1990,Open Sources,Waste,Energy from Waste,,,,,,,,,,,,,,
Manitoba,1990,Open Sources,Waste,Open Burning,113,113,113,7,42,211,591,5,,,12.7,1.02,241.73,35.6
Manitoba,1990,Open Sources,Waste,Waste Treatment and Disposal,,,,,,,,,,,,,,
Manitoba,1990,Open Sources,Mine Tailings,all subsectors,4902,392,98,,,,,,,,,,,
Manitoba,1990,Open Sources,Prescribed Burning,all subsectors,,,,,,,,,,,,,,
Manitoba,1991,Industrial Sources,Aluminum Industry,all subsectors,,,,,,,,,,,,,,
Manitoba,1991,Industrial Sources,Aluminum Industry,Alumina (Bauxite Refining),,,,,,,,,,,,,,
Manitoba,1991,Industrial Sources,Aluminum Industry,Primary Aluminum Smelting & Refining,,,,,,,,,,,,,,
Manitoba,1991,Industrial Sources,Aluminum Industry,Secondary Aluminum (Includes Recycling),,,,,,,,,,,,,,
Manitoba,1991,Industrial Sources,Asphalt Paving Industry,all subsectors,1454,278,51,7,14,409,56,,34.1,0.7,0.5,,,0.3
Manitoba,1991,Industrial Sources,Cement and Concrete Industry,all subsectors,2075,727,321,2,177,4,89,,3.2,,11.3,,,
Manitoba,1991,Industrial Sources,Cement and Concrete Industry,Cement Manufacture,131,280,99,,36,1,1,,,,6.4,,,
Manitoba,1991,Industrial Sources,Cement and Concrete Industry,Lime Manufacture,672,55,31,1,141,3,88,,,,4.9,,,
Manitoba,1991,Industrial Sources,Cement and Concrete Industry,Concrete Batching & Products,1272,393,191,,,,,,3.2,,,,,
Manitoba,1991,Industrial Sources,Chemicals Industry,all subsectors,320,101,48,129,166,221,39,915,,,,,,
Manitoba,1991,Industrial Sources,Chemicals Industry,Chemical Manufacture,24,22,15,109,59,12,39,,,,,,,
Manitoba,1991,Industrial Sources,Chemicals Industry,Paint & Varnish Manufacturing,,,,,,49,,,,,,,,
Manitoba,1991,Industrial Sources,Chemicals Industry,Petrochemical Industry,,,,,,,,,,,,,,
Manitoba,1991,Industrial Sources,Chemicals Industry,Plastics & Synthetic Resins Fabrication,,,,,,157,,,,,,,,
Manitoba,1991,Industrial Sources,Chemicals Industry,Fertilizer Production,295,79,33,20,107,3,,915,,,,,,
Manitoba,1991,Industrial Sources,Chemicals Industry,Other (Chemical Industries),,,,,,,,,,,,,,
Manitoba,1991,Industrial Sources,Mineral Products Industry,all subsectors,150,86,18,102,55,,,1,,,,,,
Manitoba,1991,Industrial Sources,Mineral Products Industry,Clay Products,,,,,,,,,,,,,,
Manitoba,1991,Industrial Sources,Mineral Products Industry,Brick Products,40,34,3,102,4,,,,,,,,,
Manitoba,1991,Industrial Sources,Mineral Products Industry,Other Mineral Products,109,52,15,,51,,,1,,,,,,
Manitoba,1991,Industrial Sources,Foundries,all subsectors,287,258,232,382,31,83,468,,,,26.7,,,
Manitoba,1991,Industrial Sources,Foundries,Ferrous Foundries,286,257,232,27,28,83,468,,,,26.7,,,
Manitoba,1991,Industrial Sources,Foundries,Non-ferrous Foundries,1,,,355,3,,,,,,,,,
Manitoba,1991,Industrial Sources,Foundries,Die Casting,,,,,,,,,,,,,,
Manitoba,1991,Industrial Sources,Grain Industries,all subsectors,7892,1452,186,,41,564,21,,,,,,,
Manitoba,1991,Industrial Sources,Iron and Steel Industries,all subsectors,20,17,16,,35,1,1725,1,,,27.8,,,
Manitoba,1991,Industrial Sources,Iron and Steel Industries,Primary (Blast furnace and DRI),,,,,,,,,,,,,,
Manitoba,1991,Industrial Sources,Iron and Steel Industries,Secondary (Electric Arc Furnaces),20,17,16,,35,1,1725,1,,,27.2,,,
Manitoba,1991,Industrial Sources,Iron and Steel Industries,Steel Recycling,,,,,,,,,,,0.6,,,
Manitoba,1991,Industrial Sources,Iron and Steel Industries,Other (Iron and Steel Industries),,,,,,,,,,,,,,
Manitoba,1991,Industrial Sources,Iron Ore Mining Industry,all subsectors,,,,,,,,,,,,,,
Manitoba,1991,Industrial Sources,Iron Ore Mining Industry,Iron Ore Mining Industry,,,,,,,,,,,,,,
Manitoba,1991,Industrial Sources,Iron Ore Mining Industry,Pelletizing,,,,,,,,,,,,,,
Manitoba,1991,Industrial Sources,Mining and Rock Quarrying,all subsectors,4317,529,99,,,,,,,,,,,
Manitoba,1991,Industrial Sources,Mining and Rock Quarrying,Rock; Sand and Gravel,1295,265,65,,,,,,,,,,,
Manitoba,1991,Industrial Sources,Mining and Rock Quarrying,Metal Mining ,2131,201,21,,,,,,,,,,,
Manitoba,1991,Industrial Sources,Mining and Rock Quarrying,Coal Mining Industry,,,,,,,,,,,,,,
Manitoba,1991,Industrial Sources,Mining and Rock Quarrying,Potash,,,,,,,,,,,,,,
Manitoba,1991,Industrial Sources,Mining and Rock Quarrying,Silica Production,,,,,,,,,,,,,,
Manitoba,1991,Industrial Sources,Mining and Rock Quarrying,Other Minerals,892,63,13,,,,,,,,,,,
Manitoba,1991,Industrial Sources,Non-Ferrous Smelting and Refining Industry,all subsectors,5431,4187,2168,396206,699,2,13,,,,20529,,,
Manitoba,1991,Industrial Sources,Non-Ferrous Smelting and Refining Industry,Primary Ni; Cu; Zn; Pb,5431,4187,2168,396077,699,2,13,,,,20529,,,
Manitoba,1991,Industrial Sources,Non-Ferrous Smelting and Refining Industry,Secondary Pb; Cu,,,,,,,,,,,,,,
Manitoba,1991,Industrial Sources,Non-Ferrous Smelting and Refining Industry,Other metals,,,,129,,,,,,,,,,
Manitoba,1991,Industrial Sources,Pulp and Paper Industry,all subsectors,3482,2244,1547,1667,901,239,1372,82,,,3.5,,,
Manitoba,1991,Industrial Sources,Wood Industry,all subsectors,478,455,65,17,322,2379,18426,31,64.8,1.7,4.8,0.026,,3.8
Manitoba,1991,Industrial Sources,Wood Industry,Sawmills,22,9,1,2,39,107,99,3,0.3,0.2,0.1,0.003,,
Manitoba,1991,Industrial Sources,Wood Industry,Panel Board Mills,80,35,28,14,266,1485,17550,28,64.5,1.5,4.7,0.024,,3.8
Manitoba,1991,Industrial Sources,Wood Industry,Other Wood Products,376,411,36,2,16,787,777,,,,,,,
Manitoba,1991,Industrial Sources,Upstream Petroleum Industry,all subsectors,29,29,29,328,75,4968,160,,,,,,,
Manitoba,1991,Industrial Sources,Upstream Petroleum Industry,Crude Oil and Natural Gas Production and Processing,29,29,29,328,75,4968,160,,,,,,,
Manitoba,1991,Industrial Sources,Upstream Petroleum Industry,Petroleum Liquids Storage,,,,,,,,,,,,,,
Manitoba,1991,Industrial Sources,Upstream Petroleum Industry,Oil Sands In-Situ Extraction and Processing ,,,,,,,,,,,,,,
Manitoba,1991,Industrial Sources,Upstream Petroleum Industry,Oil Sands Mining Extraction and Processing ,,,,,,,,,,,,,,
Manitoba,1991,Industrial Sources,Upstream Petroleum Industry,Bitumen and Heavy Oil Upgrading ,,,,,,,,,,,,,,
Manitoba,1991,Industrial Sources,Downstream Petroleum Industry,all subsectors,,,,,,2386,,,,,,,,
